Data Current as of Date,Application ID,Primary Contractor Name,Contractor Type,Project Type,Technology 1,Technology 2,Technology 3,Project Title,Contractor Street,Contractor City,Contractor State/Province,Contractor Zip/Postal Code,Contractor Website,Award Date,Award Amount (US Dollars)
12/8/20,85833,Consortium for Energy Efficiency,Laboratory / Research Center,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Market study for condensing boilers,98 N Washington St Ste 101,Boston,MA,2114,http://www.cee1.org/,1/13/00,5000
12/8/20,85504,"Architectural Testing, Inc.",Corporate,Research Study,Green building,Design,,Air Infiltration testing,303 Normanskill St,Albany,NY,12202,http://www.archtest.com/,9/26/11,6000
12/8/20,85796,"Energy Research Center, Inc",Consultant,Research Study,Green building,,,Validation of Energy Savings at NYSERDA using Energy Tracking Control Software,35 Fawn Road,Saugerties,NY,12477,https://lawsonline.com/website/5/index.aspx?webID=182,10/15/08,6300
12/8/20,85951,Cold Point Corp,Corporate,Research Study,Green building,Systems,Water heating,Add-on Heat Pump Water Heater,7500 Cold Point Dr,Rome,NY,13440,https://www.coldpointcorp.com/,9/13/05,7500
12/8/20,86004,"Roberts Research & Consulting, Inc.",Consultant,Research Study,Green building,Lighting,,High Frequency Performance of Metal Halide Lamps and Ballasts,3 Garrison Rd,Burnt Hills,NY,12027,http://www.robertsresearchinc.com/,2/28/07,9864
12/8/20,85794,"OMNI Test Laboratories, Inc.",Laboratory / Research Center,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Independent Laboratory Testing of Econoburn Wood-Fired Boiler,P.O. Box 301367,Portland,OR,97294,http://www.omni-test.com/,10/15/08,10625
12/8/20,85355,Wittus Inc.,Corporate,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",UL certification of wood stove,"PO  Box 120
40 Westchester Avenue",Pound Ridge,NY,10576,http://www.wittus.com/,10/8/09,11400
12/8/20,85907,University of Tennessee,University,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",ORNL Heat Pump Water Heater Market Survey:University of Tennessee,404 Andy Holt Tower,Knoxville,TN,37996,https://www.utk.edu/,7/21/03,11695
12/8/20,87380,"Steven Winter Associates, Inc.",Consultant,Research Study,Green building,Design,,Energy Performance Protocols at 4 Times Square,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,6/11/98,12000
12/8/20,86017,Herbert E. Hirschfeld,Early Stage Company,Research Study,Green building,,,Rate Analysis at Manhattan Plaza,15 Glen St Ste 201,Glen Cove,NY,11542,,8/22/07,12500
12/8/20,85862,California Institute for Energy   Efficiency,Laboratory / Research Center,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",IAQ Research Planning and Workshop,"University of California, 1950 Addison, Suite 108",Berkeley,CA,94740,https://uc-ciee.org/,8/23/01,15000
12/8/20,85863,"Zhang, Jianshun",Consultant,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",IAQ Research Planning and Workshop:IAQResearch Planning Workshop,44 University Pl Dept Of,Syracuse,NY,13210,,8/23/01,15000
12/8/20,85925,"ThermoRise, Inc.",Early Stage Company,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning","Low Fan Power Heat Exchanger Coil:Laboratory Testing of Low fan Power, Heat Exch",8253 Sugarland Dr,Manlius,NY,13104,,3/18/04,15000
12/8/20,85969,"Taitem Engineering, PC",Early Stage Company,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Modeling of Room Air Conditioners with Fleet Control,110 South Albany St.,Ithaca,New York,14850,http://www.taitem.com/,12/23/05,15000
12/8/20,86517,American Council for an Energy-Efficient Economy,Laboratory / Research Center,Research Study,Green building,,,Technologies and Practices to Improve Energy Efficiency:Technologies and Practic,"529 14th St NW, Suite 600",Washington,District of Columbia,20045,http://aceee.org/,5/29/97,15000
12/8/20,85993,"Applied Energy Group, Inc.",Consultant,Research Study,Green building,Building automation,"Monitoring, sensors, and controllers",Characterization and Evaluation of Load Control Potential from Air Conditioners,1377 Motor Parkway Suite 401,Islandia,NY,11749,https://appliedenergygroup.com/,2/28/07,20000
12/8/20,85889,"Utility Systems Technologies, Inc.",Early Stage Company,Research Study,Green building,Building automation,"Monitoring, sensors, and controllers",Voltage Balancing Motor Efficiency Improvement  :Three Phase Motor Efficiency Im,70 Cohoes Rd,Watervliet,NY,12189,https://ustpower.com/,12/12/02,22000
12/8/20,75420,"Air Innovations, Inc.",Early Stage Company,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Feasibility Study for Combined Power Generation and Absorption Chillers in,7000 Performance Drive,North Syracuse,NY,13212,https://airinnovations.com/,10/14/04,22585
12/8/20,85804,NYS Department of Environmental Conservation,Municipality / Government Agency,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Environmental R&D Technical Review,625 Broadway,Albany,NY,12207,https://www.dec.ny.gov/,10/28/10,23088
12/8/20,86496,"Keyspan Energy Corp. (BUG),",Corporate,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Marcus Garvey Village Study,1 Metrotech Ctr,Brooklyn,NY,11201,https://www.nationalgridus.com/Default,2/21/97,24058
12/8/20,86320,NESCAUM,Laboratory / Research Center,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",NESCAUM Evaluation of European Woodstove Testing,"89 South St, Suite 602",Boston,MA,2111,http://www.nescaum.org/,2/12/09,24985
12/8/20,85370,Electric Power Research Institute,Laboratory / Research Center,Research Study,Green building,Building automation,"Monitoring, sensors, and controllers",Research Protocol Development for Residential Energy Information Feedback,"1325 G Street, NW, Ste 1080",Washington,DC,20005,https://www.epri.com,6/15/10,25000
12/8/20,86012,National Center for Energy Management an,Other,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Air Purification Consortium Membership,"601 North Fairfax Street, Suite 250",Alexandria,VA,22314,https://www.nemionline.org/,6/8/07,25000
12/8/20,84923,Rensselaer Polytechnic Institute,University,Research Study,Green building,Design,,Cactus-inspired tall buildings,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,3/20/14,25300
12/8/20,86677,Fox & Fowle Architecture,Corporate,Research Study,Green building,Design,,Develop Environmental Guidelines for Battery Park,22 West 19th Street,New York,New York,,http://www.fxcollaborative.com/,12/8/99,27233
12/8/20,85872,"Applied Energy Group, Inc.",Consultant,Research Study,Green building,,,Westchester TOU Study,1377 Motor Parkway Suite 401,Islandia,NY,11749,https://appliedenergygroup.com/,12/3/01,29756
12/8/20,87356,Adirondack Alternate Energy,Early Stage Company,Research Study,Green building,Design,,Monitoring Two Adirondack Energy (AAE) Homes,98 Northville Rd,Northville,NY,12134,http://www.aaepassivesolar.com/,5/11/07,35947
12/8/20,85694,"M/E Engineering, P.C.",Early Stage Company,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Air Dispersion Modeling of Saranac Lake School Pellet Boiler,60 Lakefront Blvd Suite 320,Buffalo,New York,,http://www.meengineering.com/,5/27/15,39425
12/8/20,85150,National Oilheat Research Alliance,Laboratory / Research Center,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Best Practices for Tankless Coil Boilers,600 Cameron Street,Alexandria,VA,22314,https://noraweb.org/,10/25/16,40338
12/8/20,87072,"NYIEQ Center, Inc.",Other,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Heat Recovery Ventilation for IEQ in Inner City Dwelling,621 Skytop Road,Albany,NY,12203,,2/23/05,41804
12/8/20,85650,University System of New Hampshire,University,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Monitor CO from Wood Pellets,5 Chenell Dr Ste 301,Concord,NH,3301,https://www.usnh.edu/,8/5/13,49857
12/8/20,85624,Pyramid Energy Engineering Services PLLC,Early Stage Company,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Measurement and Verification of Clean Tech Bioenergy Heating Development in the,"30 Karner Rd., #12369",Albany,NY,12288,http://pyramidees.com/,6/28/13,49970
12/8/20,84830,Rensselaer Polytechnic Institute,University,Research Study,Green building,Lighting,Solid State,National Lighting Product Information Program,"Research Adm & Finance, 4th Floor West Hall, 110 8th St",Troy,NY,12180,https://www.rpi.edu/,6/17/13,50000
12/8/20,84909,Research Foundation of The City,University,Research Study,Green building,Lighting,Daylight harvesting,Quantification for Daylight,230 West 41st Street,New York,NY,10036,https://www.ccny.cuny.edu/rf,12/31/13,50000
12/8/20,84924,"Terrapin Bright Green,  LLC",Consultant,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",The Humidity Sponge: Mimicking the Termite Mound's Fungal Comb to Manage Buildin,641 Avenue of the Americas,New York,NY,10011,https://www.terrapinbrightgreen.com/,3/10/14,50000
12/8/20,85602,Research Foundation of SUNY,University,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Biomimicy & Indoor Air Quality,"Suite 211Sponsored Programs Administration UB Commons

P.O. Box 9",Albany,NY,12201-0009,https://www.rfsuny.org/,12/31/12,50000
12/8/20,85853,Air-Conditioning Heating &,Industry / Trade Association,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",21st Century HVAC/R Research Program,"2111 Wilson Blvd, Suite 500",Arlington,Virginia,22201,http://www.ahrinet.org/Home,2/26/01,50000
12/8/20,84897,"Steven Winter Associates, Inc.",Consultant,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Development of a Long-Term Plan to Help NYS Owners Scale Up Deep Energy Retrofit,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,3/20/14,51139
12/8/20,85374,Pace University,University,Research Study,Green building,,,Expanding demand response participation of non-owner occupied commercial space i,861 Bedford Rd,Pleasantville,New York,,http://www.pace.edu,6/24/10,52512
12/8/20,85562,Rensselaer Polytechnic Institute-LRC,University,Research Study,Green building,Lighting,,Long-day dairy lighting; RPI to provide light parameter measurement and data col,21 Union St,Troy,NY,12180,http://www.lrc.rpi.edu/,5/18/12,56489
12/8/20,87248,"Environmental Energy Technologies, Inc.",Early Stage Company,Research Study,Green building,,,Electro-Osmosis for Frost Prevention in Food Storage Equipment,333 Metro Park,Rochester,NY,14623,http://www.environmentalEnergyTech.com,3/13/06,56524
12/8/20,86814,"1st Rochdale Cooperative, Inc.",Other,Research Study,Green building,Building automation,"Monitoring, sensors, and controllers",Price Responsive Load Management Program:Direct Connection I,"465 Grand Street
2nd Floor",New York,NY,10002,http://www.1strochdalenyc.net/,5/21/01,59032
12/8/20,85145,National Oilheat Research Alliance,Laboratory / Research Center,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Best Practices for Integrated Heat Pumps/Hydronic Heating Systems,600 Cameron Street,Alexandria,VA,22314,https://noraweb.org/,2/3/17,59663
12/8/20,87239,"Steven Winter Associates, Inc.",Consultant,Research Study,Green building,Building automation,"Monitoring, sensors, and controllers",Demonstration of a Home Automation System Enhanced for Energy Management & Resea,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,8/2/06,60637
12/8/20,86224,HFC Hudson Fisonic Corp,Early Stage Company,Research Study,Green building,Systems,Water heating,Use of Fisonic Devices in Con Ed and NYS Territory,233 Broadway,New York,NY,10007,http://fisonicsolutions.com/,3/17/08,69980
12/8/20,85362,Vermont Energy Investment Corporation,Other,Research Study,Green building,Design,,Deep Energy Retrofit in New York State,128 Lakeside Ave Ste 401,Burlington,VT,5401,http://www.veic.org/index.aspx,2/18/10,70000
12/8/20,86190,Syracuse University,University,Research Study,Green building,Design,,Design Intelligence for Energy Performance Optimization in a Single-Family Home,University Place,Syracuse,NY,13244,http://www.syr.edu,10/26/07,74309
12/8/20,86137,Carpenter Norris Consulting,Consultant,Research Study,Green building,Lighting,Daylight harvesting,Daylighting Technical Services,145 Hudson St,New York,NY,10013,http://www.carpenternorris.com/,5/4/07,74600
12/8/20,86146,AHRI,Industry / Trade Association,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",ARTI Research Program,2111 Wilson Blvd,Arlington,VA,22201,http://www.ahrinet.org/Home,3/17/08,75000
12/8/20,86249,"Steven Winter Associates, Inc.",Consultant,Research Study,Green building,,,Thermal Disturbiution System Duct Leakage Feasibilty Study,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,7/28/08,75000
12/8/20,86389,"Newport Ventures, Inc.",Early Stage Company,Research Study,Green building,Design,,Green and Energy Efficient Building,22 Jay Street,Schenectady,New York,12305,http://www.newportventures.net/,11/24/09,79693
12/8/20,84854,"Steven Winter Associates, Inc.",Consultant,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Evaluation of Cold-Climate Air Source Heat Pumps (ccASHPs),"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,9/10/13,80353
12/8/20,85644,"Steven Winter Associates, Inc.",Consultant,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Whole House Ventilation Impact on Indoor Air Quality,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,8/12/13,86808
12/8/20,87091,American Council for an Energy Efficient,Industry / Trade Association,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Closing the Gap: Full Performance from a Residential Central Air Conditioner,529 14th St NW Ste 600,Washington,DC,20045,http://aceee.org/,9/13/04,89582
12/8/20,86569,Intertek Testing Svcs NA Inc,Corporate,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Efficiency Test Procedure for Commercial Boilers:ASHRAE Standard 155 Efficiency,3933 US Route 11,Cortland,NY,13045,http://www.intertek.com/energy-commodities/,7/10/98,93455
12/8/20,84855,"Steven Winter Associates, Inc.",Consultant,Research Study,Green building,Systems,"Heating, Ventilation, and Air Conditioning",Study energy retrofits to vents at the top of stairwells and elevator shaft,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,10/28/13,93735
12/8/20,84856,"Steven Winter Associates, Inc.",Consultant,Research Study,Green building,Design,,Passive House Wall Performance,"307 Seventh Avenue 
Suite 1701",New York,New York,10001,http://www.swinter.com/,8/19/13,95056
